,T,p,p_rgh,Ux,Uy,Ux
263,293.115,100143.0,143.5,-0.00929071,0.000200836,0.0
264,293.115,100143.0,143.5,-0.00949913,0.000210564,0.0
265,293.115,100143.0,143.5,-0.00971763,0.000220892,0.0
266,293.115,100143.0,143.5,-0.00994682,0.000231869,0.0
267,293.115,100143.0,143.5,-0.0101874,0.000243548,0.0
268,293.115,100143.0,143.5,-0.01044,0.000255987,0.0
269,293.115,100143.0,143.5,-0.0107056,0.000269247,0.0
270,293.115,100143.0,143.5,-0.0109849,0.000283398,0.0
271,293.115,100143.0,143.5,-0.0112789,0.000298517,0.0
272,293.115,100143.0,143.5,-0.0115887,0.000314692,0.0
273,293.115,100143.0,143.5,-0.0119153,0.000332015,0.0
274,293.115,100143.0,143.5,-0.0122601,0.000350594,0.0
275,293.115,100143.0,143.5,-0.0126242,0.000370545,0.0
276,293.115,100143.0,143.5,-0.0130093,0.000392,0.0
277,293.115,100143.0,143.5,-0.013417,0.000415102,0.0
278,293.115,100143.0,143.5,-0.013849,0.000440009,0.0
279,293.115,100143.0,143.5,-0.0143074,0.000466895,0.0
280,293.115,100143.0,143.5,-0.0147943,0.000495956,0.0
281,293.115,100143.0,143.5,-0.0153122,0.000527413,0.0
282,293.115,100143.0,143.5,-0.0158638,0.000561517,0.0
283,293.115,100143.0,143.5,-0.0164521,0.000598554,0.0
284,293.115,100143.0,143.5,-0.0170806,0.000638858,0.0
285,293.115,100143.0,143.5,-0.0177531,0.000682822,0.0
286,293.115,100143.0,143.5,-0.0184739,0.000730913,0.0
287,293.115,100143.0,143.5,-0.0192482,0.00078368,0.0
288,293.115,100143.0,143.501,-0.0200816,0.000841786,0.0
289,293.115,100143.0,143.501,-0.0209811,0.000906041,0.0
290,293.115,100143.0,143.501,-0.0219545,0.000977465,0.0
291,293.115,100143.0,143.501,-0.0230118,0.00105736,0.0
292,293.115,100143.0,143.501,-0.0241648,0.00114737,0.0
293,293.115,100143.0,143.501,-0.0254285,0.0012496,0.0
294,293.115,100143.0,143.501,-0.0268218,0.0013666,0.0
295,293.115,100143.0,143.501,-0.0283685,0.00150128,0.0
296,293.114,100143.0,143.501,-0.0300974,0.00165644,0.0
297,293.112,100143.0,143.501,-0.0320407,0.00183366,0.0
298,293.109,100143.0,143.501,-0.0342287,0.00203103,0.0
299,293.101,100143.0,143.502,-0.0366791,0.00223961,0.0
300,293.088,100143.0,143.502,-0.0393803,0.00243913,0.0
301,293.065,100143.0,143.502,-0.0422744,0.00259515,0.0
302,293.029,100143.0,143.502,-0.0452469,0.00266134,0.0
303,292.977,100143.0,143.502,-0.0481311,0.00258905,0.0
304,292.906,100143.0,143.502,-0.0507315,0.00234267,0.0
305,292.817,100143.0,143.503,-0.0528564,0.00191396,0.0
306,292.71,100143.0,143.503,-0.0543492,0.00132817,0.0
307,292.588,100143.0,143.503,-0.0551041,0.00063912,0.0
308,292.452,100143.0,143.503,-0.0550783,-8.92565e-05,0.0
309,292.303,100143.0,143.503,-0.0543034,-0.000821949,0.0
310,292.153,100143.0,143.503,-0.052847,-0.00154073,0.0
311,292.01,100143.0,143.503,-0.0508439,-0.00219456,0.0
312,291.878,100143.0,143.503,-0.0484538,-0.00273405,0.0
313,291.762,100143.0,143.503,-0.0458328,-0.00312924,0.0
314,291.661,100143.0,143.503,-0.0431179,-0.00336914,0.0
315,291.576,100143.0,143.503,-0.0404238,-0.00345542,0.0
316,291.506,100143.0,143.503,-0.0378464,-0.00339618,0.0
317,291.449,100143.0,143.503,-0.035467,-0.00320214,0.0
318,291.403,100143.0,143.503,-0.0333566,-0.00288596,0.0
319,291.367,100143.0,143.503,-0.0315773,-0.00246512,0.0
320,291.341,100143.0,143.502,-0.0301832,-0.00196665,0.0
321,291.321,100143.0,143.502,-0.0292212,-0.00142575,0.0
322,291.307,100143.0,143.502,-0.028742,-0.000860538,0.0
323,291.296,100143.0,143.502,-0.0288479,-0.000243695,0.0
324,291.284,100143.0,143.502,-0.0297256,0.00042119,0.0
325,291.27,100143.0,143.502,-0.0313039,0.00107327,0.0
326,291.25,100143.0,143.502,-0.0335533,0.00164326,0.0
327,291.222,100143.0,143.502,-0.036409,0.00208708,0.0
328,291.182,100143.0,143.503,-0.0397919,0.00239287,0.0
329,291.13,100143.0,143.503,-0.0436079,0.00258776,0.0
330,291.067,100143.0,143.503,-0.04776,0.00272882,0.0
331,290.998,100143.0,143.503,-0.0521482,0.00287356,0.0
332,290.926,100143.0,143.503,-0.0566633,0.00305204,0.0
333,290.855,100143.0,143.503,-0.061189,0.00325553,0.0
334,290.789,100143.0,143.503,-0.065615,0.00344538,0.0
335,290.728,100143.0,143.503,-0.0698503,0.00357449,0.0
336,290.673,100143.0,143.503,-0.0738297,0.00360709,0.0
337,290.624,100143.0,143.503,-0.07751,0.00352793,0.0
338,290.581,100143.0,143.503,-0.0808635,0.00334181,0.0
339,290.545,100143.0,143.503,-0.0838726,0.0030679,0.0
340,290.515,100143.0,143.503,-0.0865278,0.00273289,0.0
341,290.492,100143.0,143.503,-0.0888287,0.00236493,0.0
342,290.475,100143.0,143.503,-0.0907854,0.00198974,0.0
343,290.462,100143.0,143.503,-0.0924183,0.00162898,0.0
344,290.453,100143.0,143.503,-0.0937581,0.00129991,0.0
345,290.447,100143.0,143.503,-0.0948435,0.00101553,0.0
346,290.442,100143.0,143.503,-0.0957199,0.000785073,0.0
347,290.438,100143.0,143.503,-0.096436,0.000614498,0.0
348,290.435,100143.0,143.503,-0.0970425,0.000507053,0.0
349,290.432,100143.0,143.503,-0.0975894,0.000463717,0.0
350,290.428,100143.0,143.503,-0.0981245,0.00048373,0.0
351,290.424,100143.0,143.503,-0.0986921,0.00056537,0.0
352,290.421,100143.0,143.503,-0.0993345,0.000706407,0.0
353,290.417,100143.0,143.503,-0.10009,0.000903208,0.0
354,290.413,100143.0,143.503,-0.100992,0.00115113,0.0
355,290.409,100143.0,143.503,-0.102068,0.0014448,0.0
356,290.404,100143.0,143.503,-0.10334,0.00177813,0.0
357,290.4,100143.0,143.503,-0.104826,0.00214441,0.0
358,290.397,100143.0,143.503,-0.106536,0.00253649,0.0
359,290.393,100143.0,143.503,-0.108477,0.00294681,0.0
360,290.389,100143.0,143.503,-0.110649,0.00336757,0.0
361,290.386,100143.0,143.503,-0.113047,0.00379089,0.0
362,290.383,100143.0,143.503,-0.11566,0.00420904,0.0
363,290.381,100143.0,143.503,-0.118474,0.00461467,0.0
364,290.378,100143.0,143.503,-0.121469,0.00500102,0.0
365,290.377,100143.0,143.502,-0.124625,0.00536206,0.0
366,290.375,100143.0,143.502,-0.127915,0.00569264,0.0
367,290.374,100143.0,143.502,-0.131313,0.00598857,0.0
368,290.374,100143.0,143.502,-0.13479,0.00624664,0.0
369,290.374,100143.0,143.502,-0.138316,0.00646464,0.0
370,290.374,100143.0,143.502,-0.141861,0.00664118,0.0
371,290.375,100143.0,143.502,-0.145396,0.00677558,0.0
372,290.376,100143.0,143.502,-0.148891,0.00686758,0.0
373,290.378,100143.0,143.502,-0.152316,0.00691709,0.0
374,290.381,100143.0,143.502,-0.155644,0.00692378,0.0
375,290.383,100143.0,143.502,-0.158847,0.00688674,0.0
376,290.386,100143.0,143.502,-0.161895,0.00680398,0.0
377,290.39,100143.0,143.502,-0.164759,0.00667199,0.0
378,290.393,100143.0,143.502,-0.167407,0.00648503,0.0
379,290.397,100143.0,143.502,-0.169802,0.00623448,0.0
380,290.401,100143.0,143.502,-0.171903,0.00590779,0.0
381,290.406,100143.0,143.502,-0.173657,0.00548737,0.0
382,290.41,100143.0,143.502,-0.175003,0.00494858,0.0
383,290.414,100143.0,143.502,-0.17586,0.00425652,0.0
384,290.418,100143.0,143.503,-0.176124,0.00336197,0.0
385,290.422,100143.0,143.503,-0.17565,0.00219987,0.0
386,290.424,100143.0,143.504,-0.174253,0.000691815,0.0
387,290.423,100143.0,143.505,-0.171735,-0.00125582,0.0
388,290.414,100143.0,143.506,-0.167856,-0.0037182,0.0
389,290.396,100143.0,143.507,-0.162443,-0.00679175,0.0
390,290.367,100143.0,143.509,-0.155149,-0.0105566,0.0
391,290.324,100143.0,143.511,-0.145533,-0.015071,0.0
392,290.263,100143.0,143.513,-0.133104,-0.0203315,0.0
393,290.178,100143.0,143.516,-0.117402,-0.0262062,0.0
394,290.064,100143.0,143.519,-0.098197,-0.032313,0.0
395,289.913,100143.0,143.521,-0.0758089,-0.0377575,0.0
396,289.716,100143.0,143.522,-0.0514962,-0.0405592,0.0
397,289.461,100143.0,143.522,-0.0274187,-0.0365708,0.0
398,289.13,100143.0,143.522,-0.00471147,-0.0174212,0.0
399,288.674,100143.0,143.521,0.00924962,0.013514,0.0
400,299.076,100143.0,143.496,-0.00801735,0.0332823,0.0
401,294.42,100143.0,143.498,-0.013578,0.00794723,0.0
402,293.403,100143.0,143.499,-0.0161002,-0.00261183,0.0
403,293.182,100143.0,143.499,-0.0163135,-0.00466166,0.0
404,293.132,100143.0,143.499,-0.0156767,-0.00430125,0.0
405,293.12,100143.0,143.499,-0.0147945,-0.00348677,0.0
406,293.116,100143.0,143.499,-0.0139112,-0.0027373,0.0
