,T,p,p_rgh,Ux,Uy,Ux
229,293.115,100144.0,143.755,-0.00593659,1.7623e-05,0.0
230,293.115,100144.0,143.755,-0.00595238,2.35569e-05,0.0
231,293.115,100144.0,143.755,-0.00597445,2.90648e-05,0.0
232,293.115,100144.0,143.755,-0.00600236,3.42193e-05,0.0
233,293.115,100144.0,143.755,-0.00603577,3.90864e-05,0.0
234,293.115,100144.0,143.755,-0.00607438,4.37239e-05,0.0
235,293.115,100144.0,143.755,-0.00611796,4.81808e-05,0.0
236,293.115,100144.0,143.755,-0.00616632,5.24986e-05,0.0
237,293.115,100144.0,143.755,-0.00621931,5.67128e-05,0.0
238,293.115,100144.0,143.755,-0.00627682,6.08544e-05,0.0
239,293.115,100144.0,143.755,-0.00633877,6.49509e-05,0.0
240,293.115,100144.0,143.755,-0.00640512,6.90276e-05,0.0
241,293.115,100144.0,143.755,-0.00647583,7.31074e-05,0.0
242,293.115,100144.0,143.755,-0.00655089,7.72121e-05,0.0
243,293.115,100144.0,143.755,-0.00663034,8.13618e-05,0.0
244,293.115,100144.0,143.755,-0.00671421,8.55759e-05,0.0
245,293.115,100144.0,143.755,-0.00680255,8.9873e-05,0.0
246,293.115,100144.0,143.755,-0.00689545,9.42713e-05,0.0
247,293.115,100144.0,143.755,-0.006993,9.87885e-05,0.0
248,293.115,100144.0,143.755,-0.00709531,0.000103442,0.0
249,293.115,100144.0,143.755,-0.00720252,0.00010825,0.0
250,293.115,100144.0,143.755,-0.00731478,0.00011323,0.0
251,293.115,100144.0,143.755,-0.00743225,0.000118401,0.0
252,293.115,100144.0,143.755,-0.00755513,0.000123781,0.0
253,293.115,100144.0,143.755,-0.00768362,0.000129391,0.0
254,293.115,100144.0,143.755,-0.00781795,0.000135251,0.0
255,293.115,100144.0,143.755,-0.00795838,0.000141382,0.0
256,293.115,100144.0,143.755,-0.00810519,0.000147808,0.0
257,293.115,100144.0,143.755,-0.00825867,0.000154553,0.0
258,293.115,100144.0,143.755,-0.00841915,0.000161645,0.0
259,293.115,100144.0,143.755,-0.00858699,0.000169113,0.0
260,293.115,100144.0,143.755,-0.00876258,0.000176989,0.0
261,293.115,100144.0,143.755,-0.00894634,0.000185309,0.0
262,293.115,100144.0,143.755,-0.00913872,0.00019411,0.0
263,293.115,100144.0,143.755,-0.00934022,0.000203433,0.0
264,293.115,100144.0,143.755,-0.00955138,0.000213322,0.0
265,293.115,100144.0,143.755,-0.00977278,0.000223823,0.0
266,293.115,100144.0,143.755,-0.0100051,0.000234987,0.0
267,293.115,100144.0,143.755,-0.0102489,0.000246867,0.0
268,293.115,100144.0,143.755,-0.0105051,0.000259522,0.0
269,293.115,100144.0,143.755,-0.0107744,0.000273017,0.0
270,293.115,100144.0,143.755,-0.0110577,0.000287421,0.0
271,293.115,100144.0,143.755,-0.0113559,0.000302816,0.0
272,293.115,100144.0,143.755,-0.0116703,0.000319288,0.0
273,293.115,100144.0,143.755,-0.0120018,0.000336936,0.0
274,293.115,100144.0,143.755,-0.0123517,0.000355868,0.0
275,293.115,100144.0,143.756,-0.0127215,0.000376205,0.0
276,293.115,100144.0,143.756,-0.0131126,0.00039808,0.0
277,293.115,100144.0,143.756,-0.0135268,0.00042164,0.0
278,293.115,100144.0,143.756,-0.0139658,0.000447048,0.0
279,293.115,100144.0,143.756,-0.0144318,0.000474483,0.0
280,293.115,100144.0,143.756,-0.0149269,0.000504146,0.0
281,293.115,100144.0,143.756,-0.0154536,0.000536266,0.0
282,293.115,100144.0,143.756,-0.0160149,0.000571101,0.0
283,293.115,100144.0,143.756,-0.0166137,0.000608948,0.0
284,293.115,100144.0,143.756,-0.0172536,0.000650156,0.0
285,293.115,100144.0,143.756,-0.0179386,0.000695134,0.0
286,293.115,100144.0,143.756,-0.0186732,0.000744366,0.0
287,293.115,100144.0,143.756,-0.0194627,0.00079843,0.0
288,293.115,100144.0,143.756,-0.020313,0.000858023,0.0
289,293.115,100144.0,143.756,-0.0212313,0.000924003,0.0
290,293.115,100144.0,143.756,-0.0222259,0.000997454,0.0
291,293.115,100144.0,143.756,-0.0233071,0.00107975,0.0
292,293.115,100144.0,143.756,-0.0244877,0.00117266,0.0
293,293.115,100144.0,143.757,-0.0257834,0.00127839,0.0
294,293.115,100144.0,143.757,-0.0272144,0.0013996,0.0
295,293.115,100144.0,143.757,-0.0288057,0.00153921,0.0
296,293.114,100144.0,143.757,-0.0305872,0.00169985,0.0
297,293.112,100144.0,143.757,-0.0325914,0.00188242,0.0
298,293.107,100144.0,143.757,-0.0348464,0.00208355,0.0
299,293.099,100144.0,143.757,-0.0373637,0.00229177,0.0
300,293.083,100144.0,143.757,-0.0401213,0.00248329,0.0
301,293.057,100144.0,143.758,-0.043047,0.0026202,0.0
302,293.017,100144.0,143.758,-0.0460116,0.0026545,0.0
303,292.961,100144.0,143.758,-0.0488387,0.00253954,0.0
304,292.885,100144.0,143.758,-0.0513304,0.0022458,0.0
305,292.792,100144.0,143.758,-0.0533024,0.00177364,0.0
306,292.681,100144.0,143.758,-0.0546104,0.00115664,0.0
307,292.555,100144.0,143.758,-0.0551627,0.000453545,0.0
308,292.416,100144.0,143.759,-0.0549419,-0.000276018,0.0
309,292.266,100144.0,143.759,-0.0539808,-0.00100767,0.0
310,292.117,100144.0,143.759,-0.0523694,-0.00171425,0.0
311,291.977,100144.0,143.759,-0.0502519,-0.00234199,0.0
312,291.849,100144.0,143.759,-0.0477888,-0.00284598,0.0
313,291.737,100144.0,143.759,-0.0451319,-0.00320159,0.0
314,291.641,100144.0,143.759,-0.0424122,-0.00340173,0.0
315,291.56,100144.0,143.759,-0.0397391,-0.0034502,0.0
316,291.493,100144.0,143.759,-0.0372043,-0.00335598,0.0
